Population,Sex,SL,D1,D2,D3
Salty,F,21.2978,10.0124,7.0294,7.6359
Salty,F,21.6273,9.6326,7.1700,7.7923
Salty,F,21.4235,9.8028,6.7580,7.1522
Salty,F,23.4469,9.8496,7.7197,8.8090
Salty,F,20.3328,8.7982,6.7081,7.0364
Salty,F,24.4798,11.2290,7.7019,8.2857
Salty,F,22.1308,9.8641,7.6877,7.9352
Salty,F,25.0583,11.5148,8.6325,9.0636
Salty,F,27.7502,11.2345,9.2439,10.0160
Salty,F,25.2428,11.3062,8.3379,8.6462
Salty,F,23.4967,10.7978,7.6378,8.2661
Salty,F,24.7555,11.2560,8.1144,8.5967
Salty,F,24.5368,11.2941,8.4533,9.0638
Salty,F,24.7336,10.7109,8.3610,8.6291
Salty,F,22.3051,9.2609,7.1917,7.7823
Salty,M,24.7469,11.0265,9.3664,9.7448
Salty,M,23.0468,10.4689,8.6420,8.9233
Salty,M,25.0962,11.2017,9.1990,9.4177
Salty,M,24.6829,10.9226,9.2323,9.6627
Salty,M,29.2092,13.6891,12.0218,12.3126
Salty,M,36.2967,16.0787,14.1722,15.2611
Salty,M,24.9077,11.4719,9.2803,9.8321
Salty,M,25.4471,11.9101,9.2166,9.8698
Salty,M,31.0526,13.6137,11.4380,11.7424
Salty,M,24.2345,11.3564,8.6844,9.0402
Salty,M,35.3674,16.1575,14.3141,14.5019
Salty,M,25.0460,11.5600,9.0291,9.1967
Salty,M,23.4069,10.7263,8.0356,8.1688
Salty,M,29.9661,13.6947,11.0620,11.3936
Salty,M,24.6533,11.1757,8.9244,9.6344
FW,F,21.2766,9.7960,6.7578,7.2240
FW,F,21.2746,9.5787,6.3017,7.5661
FW,F,20.9109,9.3629,6.0930,6.5233
FW,F,20.7300,9.0366,6.5287,6.9298
FW,F,21.9468,8.8827,6.2883,7.1511
FW,F,21.6853,9.4472,6.4037,7.2608
FW,F,22.9773,10.5351,7.0553,7.6329
FW,F,24.0982,10.9930,7.4502,8.0748
FW,F,20.2785,8.5745,5.7469,6.4216
FW,F,21.2168,8.1967,6.8671,7.8484
FW,F,22.3990,9.8825,5.7716,6.7226
FW,F,24.3805,10.9348,7.8260,8.3655
FW,F,23.4738,10.5313,7.0076,7.6778
FW,F,19.7056,8.5546,5.8023,5.9117
FW,F,24.9079,11.5199,7.6606,8.3212
FW,M,31.6593,14.4168,11.0192,11.7462
FW,M,23.4873,10.8474,7.5159,8.0132
FW,M,29.8874,14.0408,9.8097,9.7894
FW,M,29.6581,12.9164,9.8948,10.5239
FW,M,38.6262,18.7862,12.3947,12.8325
FW,M,23.2644,10.3186,7.5262,8.0902
FW,M,26.5385,11.8890,8.4984,9.2869
FW,M,24.1427,10.9713,7.7936,8.4758
FW,M,21.1808,9.4254,6.6401,7.1813
FW,M,28.2459,13.1525,9.2468,10.0337
FW,M,25.3827,11.3588,8.8648,9.0218
FW,M,27.3649,12.7837,8.6650,9.5230
FW,M,27.2760,11.7625,8.7237,9.5608
FW,M,27.7382,12.7206,10.0098,10.8814
FW,M,35.8287,16.1531,12.3065,13.8422
