,group,SVL,TailLength,HeadLength,Snout.eye,BodyWidth,Forelimb,Hindlimb
Plethodon_albagula,Large,74.64,63.92,12.32,8.02,8.16,16.12,18.44
Plethodon_amplus,Large,68.46,63.5,11.12,8,7.58,16.44,19.26
Plethodon_aureolus,Large,55.17142857,58.37142857,9.2,5.8,5.314285714,12.52857143,15.32857143
Plethodon_caddoensis,Large,46.42909091,50.27272727,12.79090909,4.943636364,5.339090909,11.56818182,12.89090909
Plethodon_chattahoochee,Large,61.75714286,57.47142857,10.37142857,6.757142857,6.4,13.67142857,16.62857143
Plethodon_cheoah,Large,58.88,62.1,9.24,6.22,6,13.26,16.34
Plethodon_chlorobryonis,Large,49.23333333,61.43333333,10.36666667,5.866666667,5.933333333,12.2,14.9
Plethodon_cinereus,Small,45.28,42.77,7.07,3.87,3.57,6.63,8.1
Plethodon_cylindraceus,Large,78.12,81.21,13.15,8.01,8.02,16.65,20.03
Plethodon_electromorphus,Small,50.975,50.275,6.55,4.2125,4.175,6.625,8.525
Plethodon_fourchensis,Large,65.425,67.75,10.7375,7.0875,6.6875,14.5875,16.7875
Plethodon_glutinosus,Large,73.51,78.42,12.86,7.68,7.71,16.2,18.91
Plethodon_grobmani,Large,60.2,57.46666667,11.11111111,6.566666667,6.211111111,13.05555556,16.15555556
Plethodon_hoffmani,Small,49.62,50.68,7.58,4.18,3.66,7.58,9.61
Plethodon_hubrichti,Small,53.83,59.7,8.2,4.81,4.16,9.38,11.6
Plethodon_jordani,Large,70.4,72.74,10.8,7.66,7.66,16.16,19
Plethodon_kentucki,Large,63.31666667,67.68333333,11.7,6.966666667,5.95,14.9,17.9
Plethodon_kiamichi,Large,66.7625,64.675,11.25,7.2,7.2,14.375,16.7625
Plethodon_kisatchie,Large,55,51.05,9.3,5.85,6.05,11.475,13.575
Plethodon_meridianus,Large,73.92,83.56,11.68,8.02,8.36,17.28,19.38
Plethodon_metcalfi,Large,70.22,70,12.62,7.82,7.58,16.06,19.74
Plethodon_mississippi,Large,67.52,65.7,11.59,6.85,6.68,13.6,16.53
Plethodon_montanus,Large,58.1,53.44,9.16,6.44,6.02,13.66,15.84
Plethodon_nettingi,Small,45.05,44.26,7.41,4.33,3.42,8.36,10.33
Plethodon_ocmulgee,Large,66.36666667,62.55,10.28333333,6.633333333,7.066666667,13.83333333,16.18333333
Plethodon_ouachitae,Large,57.3,55.1,11.4,6.9,5.45,13.3,16.05
Plethodon_petraeus,Large,70,73,12.375,8.45,7.8625,18.1875,20.9375
Plethodon_richmondi,Small,52.46,51.55,7.18,4.08,3.72,6.5,8.17
Plethodon_savannah,Large,62.55,51.9625,10.6875,6.75,7.125,13.2375,15.0625
Plethodon_sequoyah,Large,66.35,63.9625,11.55,7.3,7.825,13.6625,16.6125
Plethodon_serratus,Small,40.43333333,29.33333333,6.7,3.866666667,3.333333333,6.733333333,7.933333333
Plethodon_shenandoah,Small,46.9,42.7,7.8,4.48,3.92,9,11.1
Plethodon_shermani,Large,59.56,61.96,9.4,6.3,7.1,13.24,14.82
Plethodon_teyahalee,Large,77.675,63,12.5,7.775,7.025,16.4,20.875
Plethodon_variolatus,Large,58.65714286,57.35714286,9.557142857,6.257142857,6.414285714,11.84285714,14.37142857
Plethodon_virginia,Small,53.05714286,58.65714286,7.085714286,4.442857143,4.514285714,8.614285714,10.37142857
Plethodon_yonahlossee,Large,81.2,81.02142857,14.57857143,9.078571429,8.442857143,20.06428571,24.07857143
